/home/cc/dagonstar/venv/lib/python3.12/site-packages/paramiko/pkey.py:82: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "cipher": algorithms.TripleDES,
/home/cc/dagonstar/venv/lib/python3.12/site-packages/paramiko/transport.py:253: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "class": algorithms.TripleDES,
2025-08-05 21:14:32,376 root         DEBUG    edge_8_03_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428472287-edge_8_03_01
2025-08-05 21:14:32,376 root         DEBUG    edge_40_06_01: Status.WAITING
2025-08-05 21:14:32,377 root         DEBUG    edge_16_10_01: Executing...
2025-08-05 21:14:32,378 root         DEBUG    edge_8_02_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428472282-edge_8_02_01
2025-08-05 21:14:32,379 root         DEBUG    edge_24_08_01: Status.RUNNING
2025-08-05 21:14:32,380 root         DEBUG    edge_40_07_01: Status.WAITING
2025-08-05 21:14:32,382 root         DEBUG    edge_40_08_01: Status.WAITING
2025-08-05 21:14:32,382 root         DEBUG    edge_24_09_01: Status.RUNNING
2025-08-05 21:14:32,383 root         DEBUG    edge_11_03_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428472292-edge_11_03_01
2025-08-05 21:14:32,384 root         DEBUG    edge_16_11_01: Executing...
2025-08-05 21:14:32,385 root         DEBUG    edge_4_06_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428472291-edge_4_06_01
2025-08-05 21:14:32,385 root         DEBUG    edge_40_09_01: Status.WAITING
2025-08-05 21:14:32,385 root         DEBUG    edge_24_10_01: Status.RUNNING
2025-08-05 21:14:32,386 root         DEBUG    edge_8_05_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428472295-edge_8_05_01
